Key,Value
10,"{(235, 143), (1081, 26), (170, 41), (544, 38), (238, 62), (660, 115), (286, 26), (1003, 72), (1200, 89), (333, 95), (417, 85), (8, 185), (924, 53), (54, 42), (92, 26), (1200, 119), (956, 79), (495, 86), (1064, 60), (36, 57), (1097, 11), (1221, 98), (588, 152), (520, 42), (1129, 79), (1197, 79), (86, 234), (1200, 139), (1038, 226), (344, 56), (1213, 23), (253, 164), (528, 103), (234, 50), (543, 76), (345, 201), (1120, 188), (703, 46), (1144, 45), (733, 111), (1207, 83), (766, 123), (1130, 64), (294, 66), (29, 49), (123, 120), (215, 157), (1210, 65), (725, 200), (1016, 190), (753, 72), (224, 116), (1197, 106), (1207, 181), (251, 11), (251, 29), (29, 28), (401, 101), (732, 8), (930, 100), (1091, 206), (1227, 161), (1078, 47), (277, 77), (1006, 40), (74, 44), (998, 66), (1208, 46), (330, 43), (892, 109), (253, 113), (1011, 2), (813, 93), (272, 184), (29, 23), (526, 45), (1215, 54), (1112, 181), (855, 83), (1081, 38), (989, 236), (1067, 167), (280, 108), (79, 8), (987, 46), (302, 83), (473, 145), (1132, 22), (725, 128), (1091, 121), (544, 34), (522, 226), (722, 86), (293, 116), (607, 193), (543, 157), (5, 42), (310, 141), (1124, 75), (495, 89), (235, 141), (86, 198), (616, 43), (522, 210), (159, 48), (543, 141), (1051, 126), (649, 21)}"
100,"{(388, 32), (976, 7), (1199, 189), (97, 93), (178, 57), (650, 19), (1021, 20), (1042, 76), (1014, 118), (563, 139), (1200, 113), (54, 39), (238, 52), (319, 126), (1042, 69), (646, 188), (1209, 14), (291, 100), (747, 78), (992, 22), (878, 70), (308, 70), (238, 109), (144, 218), (825, 73), (1038, 25), (608, 130), (1021, 82), (1124, 77), (686, 165)}"
1000,"{(1014, 48), (572, 100), (719, 157), (234, 52), (748, 52)}"
10000,"{(444, 61), (748, 48), (572, 102), (573, 214)}"
100000150000,"{(573, 256)}"
100000FOLD,"{(1191, 106)}"
1000FOLD,"{(405, 30)}"
100FOLD,"{(635, 41)}"
101,"{(1121, 276)}"
1010,"{(608, 60)}"
1015,"{(956, 262)}"
102,"{(714, 216), (683, 33), (1197, 145), (393, 92), (645, 16), (851, 40)}"
1021,"{(1086, 109)}"
1023,"{(37, 145)}"
103,"{(1091, 139), (227, 39), (953, 65), (742, 182), (424, 143)}"
1031,"{(1016, 103)}"
1038,"{(709, 74)}"
104,"{(953, 92), (1120, 184), (293, 136), (675, 103), (1120, 286), (675, 112), (260, 103), (1130, 133)}"
1047,"{(48, 196)}"
105,"{(304, 177), (913, 93), (393, 107)}"
1054,"{(177, 55)}"
106,"{(953, 88), (523, 75), (1091, 203), (523, 94), (523, 103), (953, 61), (523, 82)}"
1060,"{(1016, 106)}"
1061,"{(306, 142)}"
107,"{(235, 79), (675, 86)}"
10722,"{(71, 16)}"
108,"{(851, 46), (145, 46), (48, 20), (982, 98), (1100, 58), (675, 79)}"
10821,"{(875, 6)}"
1088,"{(544, 90)}"
109,"{(660, 188)}"
1098,"{(424, 54)}"
10FOLD,"{(85, 78)}"
10MINUTE,"{(795, 113)}"
10TH,"{(576, 63)}"
10YEAR,"{(1226, 24), (984, 83)}"
10YEAROLD,"{(1081, 56)}"
11,"{(686, 119), (1210, 67), (577, 35), (806, 41), (1217, 66), (460, 66), (1003, 231), (5, 28), (887, 120), (535, 157), (322, 144), (587, 48), (951, 202), (844, 195), (141, 16), (972, 54), (260, 89), (460, 77), (887, 43), (1070, 125), (429, 86), (812, 156), (253, 89), (923, 27), (266, 92), (369, 114), (160, 13), (1147, 45), (1005, 211), (1215, 24), (753, 124), (1120, 390)}"
110,"{(616, 31), (1204, 181), (111, 78), (880, 17)}"
1100,"{(1150, 117), (1150, 215), (1150, 140)}"
11000,"{(559, 139), (565, 71), (214, 24), (984, 60)}"
110000,"{(39, 109)}"
1100000,"{(648, 78)}"
110013700,"{(749, 171)}"
110PHENANTHROLINE,"{(847, 63)}"
111,"{(179, 47), (677, 135), (982, 9)}"
1113,"{(1198, 52)}"
111IN,"{(1063, 27)}"
111INLABELED,"{(1063, 1), (1063, 9)}"
112,"{(233, 47), (815, 82), (983, 123), (275, 55)}"
1122,"{(123, 98)}"
113,"{(109, 118), (145, 51), (874, 27), (904, 9)}"
1137,"{(356, 41), (310, 72)}"
114,"{(1121, 257)}"
114CCHOLYLGLYCINE,"{(657, 46)}"
115,"{(709, 133)}"
11500,"{(889, 23)}"
11524,"{(434, 5)}"
115350,"{(1124, 33)}"
116,"{(48, 195), (848, 58)}"
1169123175,"{(596, 2)}"
117,"{(1100, 43), (137, 212), (677, 83), (783, 15), (1070, 123)}"
117000,"{(692, 18)}"
11787,"{(855, 25)}"
118,"{(137, 189)}"
11800,"{(880, 55)}"
118300,"{(356, 120)}"
119,"{(591, 26), (594, 60), (559, 149), (232, 70)}"
11A,"{(554, 100)}"
11S,"{(223, 111)}"
11YEAROLD,"{(91, 16), (385, 20)}"
12,"{(111, 120), (878, 97), (357, 26), (790, 17), (983, 64), (38, 47), (660, 30), (89, 28), (543, 134), (1172, 47), (188, 28), (790, 38), (266, 66), (550, 14), (528, 78), (725, 110), (924, 14), (802, 25), (290, 75), (275, 38), (823, 96), (717, 63), (242, 47), (36, 183), (141, 22), (914, 40), (543, 63), (667, 65), (1104, 66), (1, 109), (1216, 60), (660, 26), (872, 49), (984, 40), (377, 146), (257, 114), (2, 126), (978, 39), (71, 125), (1014, 96), (1075, 48), (1147, 64), (320, 51), (879, 57), (307, 124), (823, 34), (793, 36), (49, 27), (61, 59), (659, 14), (185, 137), (358, 65), (1011, 51), (1216, 28), (812, 55), (1120, 290), (1092, 106), (655, 129), (406, 62), (575, 54), (209, 27), (111, 215), (208, 160), (152, 109), (514, 105), (460, 79), (523, 77), (786, 54), (813, 38), (185, 231), (74, 28), (188, 172), (473, 137), (956, 188), (1070, 133), (74, 37)}"
120,"{(1197, 41), (1051, 44), (742, 125), (686, 31), (896, 102)}"
12000,"{(871, 36), (871, 55), (559, 289), (139, 58), (307, 165)}"
1205,"{(818, 182)}"
121,"{(658, 106), (607, 177)}"
1212,"{(1091, 130)}"
1216,"{(1020, 39)}"
122,"{(358, 106), (1149, 308)}"
123,"{(1042, 179), (382, 18)}"
1238,"{(742, 162)}"
1239566,"{(671, 69)}"
124,"{(1212, 39)}"
125,"{(664, 65), (881, 33), (703, 55), (137, 238), (137, 244), (159, 35), (375, 51), (533, 60), (486, 25), (678, 44), (1126, 24), (660, 196)}"
125ILABELED,"{(890, 125), (1205, 2)}"
125ITRYPSIN,"{(1205, 37), (1205, 52)}"
125ITRYPSINALPHA,"{(1205, 73)}"
126,"{(896, 31), (366, 28), (393, 101)}"
127,"{(137, 218), (786, 79), (275, 69), (951, 116)}"
1272,"{(1070, 115)}"
127321,"{(625, 49)}"
12751,"{(433, 8)}"
127676,"{(1011, 47)}"
128,"{(85, 39), (383, 29), (416, 84)}"
129,"{(951, 164)}"
13,"{(159, 20), (695, 24), (754, 43), (36, 53), (782, 53), (1231, 29), (920, 23), (612, 145), (1232, 76), (472, 28), (1110, 56), (922, 127), (1016, 143), (611, 21), (892, 126), (725, 40), (422, 33), (473, 136), (521, 274), (858, 139), (26, 14), (956, 202), (1200, 74), (998, 79), (1171, 92), (611, 5), (738, 119), (1104, 14), (24, 62), (1016, 26), (69, 167), (275, 83), (988, 34), (535, 168), (972, 56), (178, 37), (1104, 68), (611, 68), (1104, 74), (531, 57), (649, 67), (984, 51), (185, 228), (563, 159), (535, 152), (1125, 14), (858, 85)}"
130,"{(583, 56)}"
13000,"{(984, 56), (175, 63)}"
1302,"{(544, 75)}"
131,"{(858, 25)}"
131I,"{(295, 65), (295, 184)}"
132,"{(714, 78), (1110, 28), (616, 25), (1027, 91), (372, 15)}"
1322,"{(3, 59)}"
133,"{(421, 23), (1197, 38), (778, 23), (983, 33)}"
1334,"{(424, 42)}"
1345,"{(1016, 116)}"
1347,"{(323, 40)}"
135,"{(137, 183), (621, 100), (160, 16), (1027, 59), (320, 121)}"
1350,"{(976, 47)}"
13600,"{(877, 63), (671, 81)}"
1366,"{(1016, 98)}"
137,"{(793, 37), (793, 66), (844, 214), (1100, 79)}"
13700,"{(1083, 168)}"
138,"{(742, 155)}"
13800,"{(1083, 170)}"
139,"{(677, 57), (677, 148), (660, 173)}"
1393,"{(1021, 92)}"
13NITROGEN,"{(699, 18)}"
14,"{(923, 29), (1119, 10), (253, 39), (554, 67), (506, 112), (472, 25), (529, 19), (188, 144), (608, 120), (107, 12), (951, 108), (347, 146), (234, 129), (1215, 32), (784, 10), (521, 280), (852, 38), (1171, 123), (816, 23), (195, 39), (1171, 71), (1188, 66), (1200, 217), (1112, 183), (544, 89), (983, 124), (1081, 40), (843, 65), (959, 23), (988, 10), (302, 85), (1012, 65), (1171, 52), (193, 123), (133, 45), (608, 134), (1048, 125), (1107, 95), (664, 53), (956, 216), (803, 214), (920, 21), (948, 7), (983, 126), (1091, 129), (887, 30), (725, 56), (738, 121), (587, 31), (583, 85), (600, 34), (224, 110)}"
140,"{(678, 158), (678, 113), (880, 11)}"
14000,"{(880, 57)}"
140000,"{(648, 76)}"
1401,"{(306, 135)}"
141,"{(635, 71)}"
1418,"{(865, 135)}"
142,"{(130, 57)}"
1424,"{(956, 159)}"
1426,"{(374, 103)}"
143,"{(306, 144), (137, 203)}"
144,"{(161, 22), (260, 18), (460, 69)}"
1452,"{(310, 94)}"
146,"{(59, 19), (322, 43), (322, 11), (660, 250)}"
148,"{(367, 183), (506, 66)}"
148700,"{(356, 110)}"
149,"{(1091, 195)}"
14C,"{(190, 120), (143, 61), (269, 48)}"
14CGLUCOSAMINE,"{(312, 79)}"
14CLABELED,"{(466, 44), (972, 28)}"
14CMETHYLLABELED,"{(143, 102)}"
14CO2,"{(657, 81)}"
14CPROFILES,"{(269, 86)}"
14CSPERMIDINE,"{(972, 7), (1198, 50), (972, 60), (972, 11)}"
14WEEKOLD,"{(345, 141)}"
15,"{(675, 110), (331, 59), (1006, 48), (1067, 149), (526, 39), (1003, 149), (506, 94), (951, 203), (499, 61), (11, 54), (65, 174), (358, 61), (1067, 158), (1197, 115), (506, 115), (1003, 241), (372, 136), (978, 43), (606, 71), (714, 226), (1003, 125), (102, 110), (982, 108), (405, 29), (813, 58), (335, 43), (1169, 53), (611, 109), (998, 76), (1188, 72), (841, 95), (458, 34), (521, 258), (771, 47), (1014, 20), (163, 68), (345, 203), (1051, 100), (1188, 113), (1051, 48), (1171, 104), (858, 181), (643, 116), (65, 139), (1045, 68), (1224, 95), (181, 94), (253, 147), (193, 65), (65, 145), (915, 47), (424, 44), (680, 31), (387, 28), (858, 156), (266, 95), (333, 97), (753, 146), (706, 74), (521, 254), (606, 182), (1051, 50), (1226, 27), (1006, 204), (144, 163), (771, 35), (1228, 27), (107, 28), (275, 85), (1003, 250), (185, 124)}"
150,"{(285, 31), (1101, 56), (1051, 70), (1091, 165)}"
15000,"{(536, 104), (536, 60)}"
150000,"{(749, 118)}"
151,"{(303, 111)}"
1519,"{(1197, 93)}"
152,"{(714, 227)}"
1525,"{(953, 95)}"
153,"{(1091, 187), (1091, 212), (457, 38)}"
1533,"{(533, 88)}"
154,"{(677, 25)}"
157,"{(956, 228)}"
15764,"{(430, 7)}"
158,"{(506, 78), (424, 138)}"
159,"{(1205, 28), (984, 43)}"
15KETO13,"{(803, 213)}"
15YEAROLD,"{(267, 32)}"
15YR,"{(907, 27)}"
16,"{(751, 20), (1147, 84), (235, 91), (48, 36), (285, 52), (956, 349), (714, 199), (983, 128), (1135, 21), (686, 82), (599, 14), (699, 30), (1000, 168), (1112, 162), (13, 29), (599, 19), (1003, 264), (892, 101), (816, 44), (983, 69), (65, 179), (686, 20), (655, 130), (1084, 39), (1003, 233), (147, 62), (248, 90), (1, 69), (522, 14), (393, 112), (978, 48), (812, 141), (815, 54), (1071, 43), (242, 40), (123, 34), (273, 18), (816, 25), (1169, 58), (522, 146), (204, 10), (232, 26), (415, 68), (466, 19), (473, 128), (578, 25), (1217, 18), (244, 67), (1121, 285), (68, 15), (303, 159), (175, 65)}"
160,"{(912, 8), (137, 185), (912, 64), (983, 130)}"
1614,"{(865, 25)}"
162,"{(1075, 23)}"
16224,"{(600, 41)}"
163,"{(607, 204), (725, 82), (284, 34), (1046, 27)}"
1642,"{(307, 12)}"
165,"{(404, 36), (742, 133)}"
1651,"{(179, 41)}"
16577,"{(439, 3)}"
166,"{(677, 122), (742, 180), (677, 156), (1070, 131), (660, 232)}"
167,"{(232, 66), (679, 49), (147, 50)}"
168,"{(528, 84), (23, 42)}"
1683,"{(486, 59)}"
169,"{(416, 74), (177, 71)}"
16993,"{(1222, 75)}"
16WKOLD,"{(1204, 153)}"
16YEAROLD,"{(727, 7)}"
17,"{(355, 81), (303, 113), (550, 36), (193, 18), (742, 209), (331, 25), (585, 21), (1112, 31), (840, 67), (753, 126), (956, 324), (1147, 71), (462, 23), (598, 69), (714, 177), (522, 266), (754, 51), (155, 18), (8, 66), (193, 96), (89, 30), (725, 152), (1000, 271), (1150, 14), (910, 51), (459, 54), (105, 99), (1112, 164), (725, 124), (369, 47), (830, 70), (1014, 175), (910, 17), (1046, 103), (377, 136), (75, 9), (148, 14), (93, 26), (992, 37), (956, 197), (1226, 33), (660, 177)}"
170,"{(1197, 39)}"
1700,"{(522, 96)}"
17000,"{(898, 64), (898, 92), (871, 67)}"
17033,"{(13, 55)}"
171,"{(514, 39), (956, 330)}"
1712YEAROLD,"{(759, 15)}"
172,"{(528, 92)}"
1725,"{(1120, 358)}"
173,"{(680, 81), (260, 84), (260, 16), (1101, 76), (1091, 156), (680, 92)}"
175,"{(375, 57), (1046, 31), (1221, 87)}"
176,"{(1014, 141), (248, 58)}"
177,"{(901, 36), (815, 109), (874, 83), (621, 84)}"
178,"{(752, 11)}"
179,"{(306, 137)}"
17991,"{(441, 7)}"
17BETA,"{(973, 36)}"
18,"{(22, 127), (823, 36), (858, 88), (878, 39), (769, 102), (1091, 186), (415, 3), (725, 211), (466, 24), (677, 110), (319, 130), (107, 18), (607, 185), (407, 84), (963, 64), (1000, 55), (608, 77), (259, 48), (317, 50), (394, 16), (956, 290), (529, 15), (86, 28), (1227, 94), (143, 25), (1110, 58), (369, 194), (675, 84), (1147, 52), (143, 92), (677, 115), (143, 162), (404, 48), (678, 49), (1119, 48), (963, 57), (205, 31), (677, 127), (677, 139), (369, 53), (616, 37), (137, 85), (678, 128), (193, 141), (375, 72), (415, 47), (61, 95), (753, 36), (679, 32), (794, 19), (1172, 35), (266, 110), (172, 42), (144, 151), (422, 25), (806, 51), (1046, 60), (188, 35), (845, 15), (266, 70)}"
180,"{(896, 104), (137, 153), (1000, 279), (1157, 117)}"
18000,"{(705, 108)}"
1801,"{(486, 70)}"
181,"{(803, 172)}"
182,"{(290, 20), (290, 152), (278, 45), (737, 57), (290, 112), (290, 57)}"
1822,"{(105, 43)}"
183392,"{(625, 56)}"
1840S,"{(73, 178)}"
1850,"{(38, 69)}"
1857,"{(1094, 24)}"
187,"{(584, 73)}"
18TH,"{(855, 109), (855, 74)}"
19,"{(275, 33), (420, 51), (806, 56), (215, 146), (728, 11), (420, 14), (611, 100), (215, 112), (150, 22), (104, 214), (594, 44), (1231, 46), (660, 200), (215, 142), (676, 223), (424, 145), (414, 138), (603, 19), (512, 29), (51, 36), (676, 125), (1110, 82), (193, 71), (246, 126), (211, 43), (375, 78), (725, 157), (753, 106), (993, 176), (1129, 137), (198, 21)}"
190,"{(1227, 45)}"
1900,"{(67, 10)}"
1905,"{(776, 54)}"
1929,"{(958, 46)}"
193,"{(607, 168), (522, 205)}"
1930S,"{(301, 54)}"
1938,"{(776, 59), (704, 18)}"
1939,"{(297, 33)}"
1940S,"{(301, 57)}"
1946,"{(855, 49)}"
194675,"{(880, 26)}"
1950,"{(659, 38)}"
1950S,"{(438, 63)}"
1952,"{(596, 24)}"
195217,"{(432, 6)}"
1953,"{(297, 111), (1120, 452), (776, 170)}"
1954,"{(301, 69), (64, 41)}"
1955,"{(1120, 59)}"
1956,"{(783, 23), (661, 26), (78, 13)}"
1957,"{(36, 36)}"
1958,"{(1120, 63), (1147, 18)}"
196,"{(1100, 45)}"
1961,"{(1094, 16), (1120, 267)}"
19611965,"{(671, 64)}"
1962,"{(13, 25), (322, 74)}"
1963,"{(895, 46), (630, 28)}"
1964,"{(243, 140), (879, 55), (879, 23)}"
1965,"{(922, 112), (1121, 133), (1119, 13)}"
19651971,"{(514, 23)}"
1966,"{(258, 39), (258, 257), (258, 337), (233, 48), (251, 46)}"
19661972,"{(258, 243), (258, 188), (258, 323)}"
1967,"{(596, 26), (251, 50), (392, 124)}"
1968,"{(910, 39), (243, 49), (514, 83), (826, 28), (148, 29), (121, 182), (1011, 36)}"
19681978,"{(1226, 26)}"
1969,"{(260, 43), (121, 10), (1121, 18), (243, 50), (243, 53)}"
196971,"{(73, 80)}"
197,"{(848, 68), (137, 199)}"
1970,"{(121, 184), (704, 68)}"
1971,"{(121, 88), (13, 27), (1094, 18), (163, 37), (238, 21)}"
1972,"{(258, 183), (818, 54), (110, 4), (855, 51), (258, 41), (910, 41), (898, 66), (43, 29), (258, 259), (73, 41), (148, 31)}"
1973,"{(267, 58), (177, 49), (152, 40), (238, 23), (1147, 58), (411, 45), (43, 32), (86, 45), (628, 19), (809, 49)}"
1974,"{(879, 59), (291, 68), (267, 61), (559, 147), (260, 38), (1011, 40)}"
19741976,"{(782, 49)}"
1975,"{(722, 29), (291, 71), (759, 36), (826, 38), (879, 26), (243, 64), (1232, 82), (1232, 69), (243, 69), (659, 40)}"
1976,"{(858, 168), (661, 29), (704, 70), (630, 30), (647, 69), (783, 26)}"
1977,"{(854, 66), (1153, 11), (898, 11), (1182, 8), (1147, 60), (1232, 84), (1120, 159), (922, 114)}"
1978,"{(1121, 81), (1004, 9), (1011, 45), (1119, 15)}"
1979,"{(1091, 122)}"
1982,"{(678, 172), (1091, 176)}"
1985,"{(705, 64)}"
199,"{(1162, 90), (108, 41)}"
19A,"{(554, 76)}"
19F,"{(554, 75), (554, 98)}"
19FOLD,"{(522, 126)}"
1ACYL2N4NITROBENZO2OXA13DIAZOLEAMINOCAPROYL,"{(621, 29)}"
1H,"{(1021, 95)}"
1HOUR,"{(809, 28)}"
1SEC,"{(227, 43), (372, 51), (368, 79), (368, 85), (372, 33)}"
1ST,"{(1149, 67)}"
